stage,split,coco_split,coco_image_id,source_url,classes
base,train,train2017,000000252136,http://images.cocodataset.org/train2017/000000252136.jpg,"person,chair"
base,train,train2017,000000256276,http://images.cocodataset.org/train2017/000000256276.jpg,"person,chair"
base,train,train2017,000000258478,http://images.cocodataset.org/train2017/000000258478.jpg,"person,chair"
base,train,train2017,000000259465,http://images.cocodataset.org/train2017/000000259465.jpg,"person,table"
base,train,train2017,000000260025,http://images.cocodataset.org/train2017/000000260025.jpg,"person,table"
base,train,train2017,000000269915,http://images.cocodataset.org/train2017/000000269915.jpg,"person,table"
base,train,train2017,000000274267,http://images.cocodataset.org/train2017/000000274267.jpg,"person,chair,table"
base,train,train2017,000000281224,http://images.cocodataset.org/train2017/000000281224.jpg,"chair,table"
base,train,train2017,000000281227,http://images.cocodataset.org/train2017/000000281227.jpg,person
base,train,train2017,000000281246,http://images.cocodataset.org/train2017/000000281246.jpg,chair
base,train,train2017,000000285998,http://images.cocodataset.org/train2017/000000285998.jpg,"chair,table"
base,train,train2017,000000289699,http://images.cocodataset.org/train2017/000000289699.jpg,person
base,train,train2017,000000293819,http://images.cocodataset.org/train2017/000000293819.jpg,person
base,train,train2017,000000296170,http://images.cocodataset.org/train2017/000000296170.jpg,"person,chair"
base,train,train2017,000000302383,http://images.cocodataset.org/train2017/000000302383.jpg,chair
base,train,train2017,000000303970,http://images.cocodataset.org/train2017/000000303970.jpg,"chair,table"
base,train,train2017,000000314388,http://images.cocodataset.org/train2017/000000314388.jpg,table
base,train,train2017,000000317986,http://images.cocodataset.org/train2017/000000317986.jpg,"person,chair"
base,train,train2017,000000326098,http://images.cocodataset.org/train2017/000000326098.jpg,"person,chair"
base,train,train2017,000000337321,http://images.cocodataset.org/train2017/000000337321.jpg,table
base,train,train2017,000000341455,http://images.cocodataset.org/train2017/000000341455.jpg,"person,chair,table"
base,train,train2017,000000342807,http://images.cocodataset.org/train2017/000000342807.jpg,"person,chair,table"
base,train,train2017,000000353378,http://images.cocodataset.org/train2017/000000353378.jpg,table
base,train,train2017,000000362831,http://images.cocodataset.org/train2017/000000362831.jpg,"chair,table"
base,train,train2017,000000364722,http://images.cocodataset.org/train2017/000000364722.jpg,"chair,table"
base,train,train2017,000000367468,http://images.cocodataset.org/train2017/000000367468.jpg,chair
base,train,train2017,000000372198,http://images.cocodataset.org/train2017/000000372198.jpg,"person,chair"
base,train,train2017,000000395965,http://images.cocodataset.org/train2017/000000395965.jpg,"person,chair"
base,train,train2017,000000396084,http://images.cocodataset.org/train2017/000000396084.jpg,table
base,train,train2017,000000396688,http://images.cocodataset.org/train2017/000000396688.jpg,"person,chair,table"
base,train,train2017,000000404865,http://images.cocodataset.org/train2017/000000404865.jpg,"person,table"
base,train,train2017,000000405635,http://images.cocodataset.org/train2017/000000405635.jpg,chair
base,train,train2017,000000416450,http://images.cocodataset.org/train2017/000000416450.jpg,"person,table"
base,train,train2017,000000418675,http://images.cocodataset.org/train2017/000000418675.jpg,chair
base,train,train2017,000000426841,http://images.cocodataset.org/train2017/000000426841.jpg,"person,chair,table"
base,train,train2017,000000429433,http://images.cocodataset.org/train2017/000000429433.jpg,"person,chair,table"
base,train,train2017,000000431827,http://images.cocodataset.org/train2017/000000431827.jpg,person
base,train,train2017,000000436295,http://images.cocodataset.org/train2017/000000436295.jpg,table
base,train,train2017,000000437783,http://images.cocodataset.org/train2017/000000437783.jpg,"person,chair,table"
base,train,train2017,000000443177,http://images.cocodataset.org/train2017/000000443177.jpg,"person,table"
base,train,train2017,000000458058,http://images.cocodataset.org/train2017/000000458058.jpg,chair
base,train,train2017,000000458282,http://images.cocodataset.org/train2017/000000458282.jpg,chair
base,train,train2017,000000458299,http://images.cocodataset.org/train2017/000000458299.jpg,person
base,train,train2017,000000460183,http://images.cocodataset.org/train2017/000000460183.jpg,"person,table"
base,train,train2017,000000463498,http://images.cocodataset.org/train2017/000000463498.jpg,"chair,table"
base,train,train2017,000000466207,http://images.cocodataset.org/train2017/000000466207.jpg,"chair,table"
base,train,train2017,000000472502,http://images.cocodataset.org/train2017/000000472502.jpg,person
base,train,train2017,000000472654,http://images.cocodataset.org/train2017/000000472654.jpg,"person,chair"
base,train,train2017,000000478410,http://images.cocodataset.org/train2017/000000478410.jpg,"person,chair,table"
base,train,train2017,000000483837,http://images.cocodataset.org/train2017/000000483837.jpg,table
base,train,train2017,000000491282,http://images.cocodataset.org/train2017/000000491282.jpg,"person,chair"
base,train,train2017,000000496402,http://images.cocodataset.org/train2017/000000496402.jpg,"person,chair"
base,train,train2017,000000499239,http://images.cocodataset.org/train2017/000000499239.jpg,"person,chair"
base,train,train2017,000000501624,http://images.cocodataset.org/train2017/000000501624.jpg,person
base,train,train2017,000000502564,http://images.cocodataset.org/train2017/000000502564.jpg,"person,chair,table"
base,train,train2017,000000503992,http://images.cocodataset.org/train2017/000000503992.jpg,chair
base,train,train2017,000000506073,http://images.cocodataset.org/train2017/000000506073.jpg,"person,chair"
base,train,train2017,000000506838,http://images.cocodataset.org/train2017/000000506838.jpg,person
base,train,train2017,000000510656,http://images.cocodataset.org/train2017/000000510656.jpg,"person,chair"
base,train,train2017,000000512302,http://images.cocodataset.org/train2017/000000512302.jpg,"person,table"
base,train,train2017,000000516906,http://images.cocodataset.org/train2017/000000516906.jpg,chair
base,train,train2017,000000527535,http://images.cocodataset.org/train2017/000000527535.jpg,"person,table"
base,train,train2017,000000535856,http://images.cocodataset.org/train2017/000000535856.jpg,"chair,table"
base,train,train2017,000000549237,http://images.cocodataset.org/train2017/000000549237.jpg,person
base,train,train2017,000000549347,http://images.cocodataset.org/train2017/000000549347.jpg,"person,chair,table"
base,train,train2017,000000561599,http://images.cocodataset.org/train2017/000000561599.jpg,"chair,table"
base,train,train2017,000000563839,http://images.cocodataset.org/train2017/000000563839.jpg,"person,chair"
base,train,train2017,000000567036,http://images.cocodataset.org/train2017/000000567036.jpg,"person,table"
base,train,train2017,000000567678,http://images.cocodataset.org/train2017/000000567678.jpg,"chair,table"
base,train,train2017,000000575355,http://images.cocodataset.org/train2017/000000575355.jpg,"chair,table"
base,train,train2017,000000576526,http://images.cocodataset.org/train2017/000000576526.jpg,"person,chair,table"
base,train,train2017,000000576593,http://images.cocodataset.org/train2017/000000576593.jpg,chair
base,train,train2017,000000577520,http://images.cocodataset.org/train2017/000000577520.jpg,"person,chair,table"
base,train,train2017,000000579539,http://images.cocodataset.org/train2017/000000579539.jpg,table
base,val,val2017,000000004134,http://images.cocodataset.org/val2017/000000004134.jpg,"person,chair,table"
base,val,val2017,000000025386,http://images.cocodataset.org/val2017/000000025386.jpg,"person,chair"
base,val,val2017,000000081061,http://images.cocodataset.org/val2017/000000081061.jpg,chair
base,val,val2017,000000142620,http://images.cocodataset.org/val2017/000000142620.jpg,"person,chair,table"
base,val,val2017,000000160012,http://images.cocodataset.org/val2017/000000160012.jpg,"person,chair,table"
base,val,val2017,000000179141,http://images.cocodataset.org/val2017/000000179141.jpg,"person,table"
base,val,val2017,000000182155,http://images.cocodataset.org/val2017/000000182155.jpg,person
base,val,val2017,000000224807,http://images.cocodataset.org/val2017/000000224807.jpg,"person,chair,table"
base,val,val2017,000000276434,http://images.cocodataset.org/val2017/000000276434.jpg,"person,table"
base,val,val2017,000000293858,http://images.cocodataset.org/val2017/000000293858.jpg,"chair,table"
base,val,val2017,000000321214,http://images.cocodataset.org/val2017/000000321214.jpg,"person,chair"
base,val,val2017,000000322211,http://images.cocodataset.org/val2017/000000322211.jpg,table
base,val,val2017,000000327601,http://images.cocodataset.org/val2017/000000327601.jpg,"person,chair"
base,val,val2017,000000329323,http://images.cocodataset.org/val2017/000000329323.jpg,person
base,val,val2017,000000363666,http://images.cocodataset.org/val2017/000000363666.jpg,"person,chair,table"
base,val,val2017,000000369370,http://images.cocodataset.org/val2017/000000369370.jpg,table
base,val,val2017,000000376322,http://images.cocodataset.org/val2017/000000376322.jpg,"person,table"
base,val,val2017,000000386352,http://images.cocodataset.org/val2017/000000386352.jpg,"person,chair"
base,val,val2017,000000439525,http://images.cocodataset.org/val2017/000000439525.jpg,"person,table"
base,val,val2017,000000446522,http://images.cocodataset.org/val2017/000000446522.jpg,"chair,table"
base,val,val2017,000000470924,http://images.cocodataset.org/val2017/000000470924.jpg,"person,chair,table"
base,val,val2017,000000488166,http://images.cocodataset.org/val2017/000000488166.jpg,"person,table"
base,val,val2017,000000492362,http://images.cocodataset.org/val2017/000000492362.jpg,person
base,val,val2017,000000508730,http://images.cocodataset.org/val2017/000000508730.jpg,"person,chair"
base,val,val2017,000000513283,http://images.cocodataset.org/val2017/000000513283.jpg,"person,table"
